id,keyword,location,text,target,is_label_conflict,is_exact_duplicate,text_clean_preview,char_count,word_count,has_url
215,airplane%20accident,"New Mexico, USA",@mickinyman @TheAtlantic That or they might be killed in an airplane accident in the night a car wreck! Politics at it's best.,0,False,False,@mickinyman @theatlantic that or they might be killed in an airplane accident in the night a car wreck! politics at it's best.,126,22,False
242,airplane%20accident,"San Francisco, CA",Statistically I'm at more of risk of getting killed by a cop than I am of dying in an airplane accident.,0,False,False,statistically i'm at more of risk of getting killed by a cop than i am of dying in an airplane accident.,104,21,False
721,attacked,Peshawar,IK Only Troll His Pol Rivals Never Literally Abused Them Or Attacked Their Families. While All Of Them Literally Abuse IK. Loosers,0,False,False,ik only troll his pol rivals never literally abused them or attacked their families. while all of them literally abuse ik. loosers,130,22,False
1080,blew%20up,Atlanta,@mfalcon21 go look. Just blew it up w atomic bomb.,0,False,False,@mfalconnum go look. just blew it up w atomic bomb.,50,10,False
1425,body%20bag,,@Rhee1975 @deliciousvomit No I'm not I'm saying that they're lucky they can go home to their families not put in a body bag,0,False,False,@rheenum @deliciousvomit no i'm not i'm saying that they're lucky they can go home to their families not put in a body bag,123,23,False
1663,bombing,"Washington, D.C.",I think bombing Iran would be kinder... https://t.co/GVm70U2bPm,0,False,False,i think bombing iran would be kinder...,63,8,True
1666,bombing,,Oh and fuck Bill Clinton for bombing us and fuck NATO.,0,False,False,oh and fuck bill clinton for bombing us and fuck nato.,54,11,False
1878,burning,mumbai,hermancranston: #atk #LetsFootball RT SkanndTyagi: #letsFootball #atk WIRED : All these fires are burning through Û_ http://t.co/DmTab6g7j7,0,False,False,hermancranston: #atk #letsfootball rt skanndtyagi: #letsfootball #atk wired : all these fires are burning through _,140,17,True
1975,bush%20fires,Queen Creek AZ,Ted Cruz fires back at Jeb &amp; Bush: ÛÏWe lose because of Republicans like Jeb &amp; Mitt.Û [Video] -  http://t.co/BFTHaHLCr0,0,False,False,ted cruz fires back at jeb & bush: we lose because of republicans like jeb & mitt. [video] -,130,20,True
1981,bush%20fires,,Ted Cruz fires back at Jeb &amp; Bush: ÛÏWe lose because of Republicans like Jeb &amp; Mitt.Û [Video] -  http://t.co/bFtiaPF35F,0,False,False,ted cruz fires back at jeb & bush: we lose because of republicans like jeb & mitt. [video] -,130,20,True
1987,bush%20fires,London/Bristol/Guildford,On holiday to relax sunbathe and drink ... Putting out bush fires? Not so much ?? #spain https://t.co/dRno7OKM21,0,False,False,on holiday to relax sunbathe and drink ... putting out bush fires? not so much ?? #spain,112,18,True
1994,bush%20fires,,One thing you can be sure of. There will never be bush fires in Scotland as the ground is always soaking wet????,0,False,False,one thing you can be sure of. there will never be bush fires in scotland as the ground is always soaking wet????,112,22,False
1999,bush%20fires,,Ted Cruz fires back at Jeb &amp; Bush: ÛÏWe lose because of Republicans like Jeb &amp; Mitt.Û [Video] http://t.co/FgDEh56PLO,0,False,False,ted cruz fires back at jeb & bush: we lose because of republicans like jeb & mitt. [video],127,19,True
2006,bush%20fires,,Ted Cruz fires back at Jeb &amp; Bush: ÛÏWe lose because of Republicans like Jeb &amp; Mitt.Û [Video] -  http://t.co/KCofF6BmiE,0,False,False,ted cruz fires back at jeb & bush: we lose because of republicans like jeb & mitt. [video] -,130,20,True
2585,crash,Galatians 2:20 ,Please keep Josh the Salyers/Blair/Hall families &amp; Jenna's friends in your prayers. She was taken far too soon. RIP http://t.co/bDN2FDPdAz,0,False,False,please keep josh the salyers/blair/hall families & jenna's friends in your prayers. she was taken far too soon. rip,142,20,True
3998,disaster,"Los Angeles, London, Kent",I forgot to bring chocolate with me. Major disaster.,0,False,False,i forgot to bring chocolate with me. major disaster.,52,9,False
4003,disaster,Portoviejo-Manabi-Ecuador,I'm a disaster?? https://t.co/VCV73BUaCZ,0,False,False,i'm a disaster??,40,4,True
4005,disaster,,@LovelyLikeLaura I can see why one of your favorite books is 'Beautiful Disaster' it may now be one of mine??,0,False,False,@lovelylikelaura i can see why one of your favorite books is 'beautiful disaster' it may now be one of mine??,109,20,False
4008,disaster,chillin at ceder rapids,Beautiful disaster // Jon McLaughlin is such a good song,0,False,False,beautiful disaster // jon mclaughlin is such a good song,56,10,False
4012,disaster,en el pais de los arrechos,beautiful disaster https://t.co/qm5Sz0fyU8,0,False,False,beautiful disaster,42,3,True
4014,disaster,,My first staining attempt was a disaster https://t.co/buDmKE3nNf,0,False,False,my first staining attempt was a disaster,64,8,True
4018,disaster,,I want to go back to Vegas for my 21 but I feel like that would be such a disaster lol so much money would need to be brought,0,False,False,i want to go back to vegas for my num but i feel like that would be such a disaster lol so much money would need to be brought,125,29,False
4027,disaster,"Lima, Peru",Û¢i'm the architect of my own disasterÛ¢,0,False,False,i'm the architect of my own disaster,42,7,False
4028,disaster,In Your Notifications ,@Hollyorange8 my day has been a disaster of emotions,0,False,False,@hollyorangenum my day has been a disaster of emotions,52,9,False
4029,disaster,,I'm setting myself up for disaster,0,False,False,i'm setting myself up for disaster,34,6,False
4030,disaster,"Fort Worth, Texas",What the hell is wrong with people?!communication!  Rule with an iron fist ticket to disaster.  Can't swing one day and not the next.,0,False,False,what the hell is wrong with people?!communication! rule with an iron fist ticket to disaster. can't swing one day and not the next.,133,23,False
4033,disaster,,@cncpts @SOLELINKS what a disaster - can't say I'm surprised,0,False,False,@cncpts @solelinks what a disaster - can't say i'm surprised,60,10,False
4034,disaster,London,RT @AmznFavorites THE DEVEREAUX DISASTER. 'Exciting scifi #thriller...' http://t.co/Mw9amBgAfq #SciFi #Kindle,0,False,False,rt @amznfavorites the devereaux disaster. 'exciting scifi #thriller...' #scifi #kindle,109,11,True
4039,disaster,"Alexandria, VA",Four Technologies That Could Let Humans Survive Environmental Disaster - http://t.co/4RTpJrHsqe,0,False,False,four technologies that could let humans survive environmental disaster -,95,11,True
4041,disaster,"Calgary, AB",The @rbcinsurance quote website = disaster. Tried 3 browsers &amp; 3 machines. Always get 'Missing Info' error due to a non-existant drop down.,0,False,False,the @rbcinsurance quote website = disaster. tried num browsers & num machines. always get 'missing info' error due to a non-existant drop down.,143,23,False
4042,disaster,nearest trash can ,I'd like to think I'm photogenic but every time I see a pic with me in it I just think to myself 'gosh what a disaster' xD,0,False,False,i'd like to think i'm photogenic but every time i see a pic with me in it i just think to myself 'gosh what a disaster' xd,122,27,False
4043,disaster,USA ,DISASTER AVERTED: Police kill gunman with Û÷hoax deviceÛª atåÊcinema http://t.co/5NG0FzpVdS,0,False,False,disaster averted: police kill gunman with hoax device atcinema,93,10,True
4045,disaster,,If Locke has to pitch in the playoffs it's not a disaster but they should absolutely positively never let him pitch the sixth inning.,0,False,False,if locke has to pitch in the playoffs it's not a disaster but they should absolutely positively never let him pitch the sixth inning.,133,24,False
4046,disaster,"Los Angeles, California",Teen Disaster Preparedness Event in Van Nuys August 11 @ 5:30pm http://t.co/fXUX987vZx via @VanNuysCouncil,0,False,False,teen disaster preparedness event in van nuys august num @ num:numpm via @vannuyscouncil,106,14,True
4047,disaster,Morocco,@Youssefyamani add Fez weather to the equation and you have the best recipe for disaster.,0,False,False,@youssefyamani add fez weather to the equation and you have the best recipe for disaster.,89,15,False
4292,drowning,Pittsburgh ,Drowning in Actavis suicide,0,False,False,drowning in actavis suicide,27,4,False
4384,earthquake,,#USGS M 1.4 - 4km E of Interlaken California: Time2015-08-06 00:52:25 UTC2015-08-05 17:52:25 -07:00 at ep... http://t.co/zqrcptLrUM #SM,0,False,False,#usgs m num - numkm e of interlaken california: timenum-num-num num:num:num utcnum-num-num num:num:num -num:num at ep... #sm,135,18,True
4385,earthquake,Desde Republica Argentina,#Sismo M 1.3 - 1km NNE of The Geysers California: Time2015-08-05 23:40:21 UTC2015-08-05 16:40:21 -07:00 a... http://t.co/x6el3ySYcn #CS,0,False,False,#sismo m num - numkm nne of the geysers california: timenum-num-num num:num:num utcnum-num-num num:num:num -num:num a... #cs,135,18,True
4579,emergency%20plan,North Hastings Ontario,Practice your families fire escape plan so everyone knows what to do in case of an emergency.,0,False,False,practice your families fire escape plan so everyone knows what to do in case of an emergency.,93,17,False
4584,emergency%20plan,Indiana,"Do you have a plan? Emergency Preparedness for #Families of
Children with Special Needs  http://t.co/RdOVqaUAx5  #autism #specialneeds",0,False,False,do you have a plan? emergency preparedness for #families of children with special needs #autism #specialneeds,134,17,True
5740,forest%20fires,,Q: Why do ducks have big flat feet? A: To stamp out forest fires. Q: Why do elephants have big flat feet? A: To stamp out flaming ducks.,0,False,False,q: why do ducks have big flat feet? a: to stamp out forest fires. q: why do elephants have big flat feet? a: to stamp out flaming ducks.,136,28,False
5748,forest%20fires,,Cartoon Bears. Without them we would qave no knowlddge of forest fires or toilet paper.,0,False,False,cartoon bears. without them we would qave no knowlddge of forest fires or toilet paper.,87,15,False
5758,forest%20fires,,I'm about to cook your Smokey the Bear saving forest fires face ass  https://t.co/WtGGqS5gEh,0,False,False,i'm about to cook your smokey the bear saving forest fires face ass,92,14,True
5760,forest%20fires,Tips on my blog at,Tales of the #trees #deep water loving #Lake Tahoe. And no #forest fires https://t.co/xuhMJ098Lq,0,False,False,tales of the #trees #deep water loving #lake tahoe. and no #forest fires,96,14,True
5771,forest%20fires,Texas ,' no pharrell  only YOU can prevent forest fires ' ??,0,False,False,' no pharrell only you can prevent forest fires ' ??,53,11,False
6192,hijacker,Southern California,San Jose Mercury: Governor Brown allows parole for California school bus hijacker  http://t.co/GpCeCp9kHv,0,False,False,san jose mercury: governor brown allows parole for california school bus hijacker,105,13,True
6211,hijacker,,Governor allows parole for California school bus hijacker | Fresno Linked Local Network http://t.co/Sww0QsMxVM http://t.co/bcdP4gKokA,0,False,False,governor allows parole for california school bus hijacker | fresno linked local network,133,15,True
6217,hijacker,California ,Governor weighs parole for California school bus hijacker http://t.co/7NPBfRzEJL http://t.co/Y0kByy8nce,0,False,False,governor weighs parole for california school bus hijacker,103,10,True
6450,injured, Tropical SE FLorida,#WakeUpFlorida... #Floridians more likely to be killed/injured by a #TrophyHunt killer's gun than by ISIS.  https://t.co/j5In8meXAJ,0,False,False,#wakeupflorida... #floridians more likely to be killed/injured by a #trophyhunt killer's gun than by isis.,131,16,True
6751,lightning,"Coventry, UK",dogs Lightning reshapes rocks at the atomic level - A lightning strike can reshape a mineral's crystal structure ... http://t.co/2Wvmij5SA4,0,False,False,dogs lightning reshapes rocks at the atomic level - a lightning strike can reshape a mineral's crystal structure ...,139,20,True
7118,military,somewhere USA ,i strongly support our military &amp; their families just not the cock suckers in DC they work for,0,False,False,i strongly support our military & their families just not the cock suckers in dc they work for,98,18,False
7195,natural%20disaster,home ,she's a natural disaster she's the last of the American girls ??,0,False,False,she's a natural disaster she's the last of the american girls ??,64,12,False
7196,natural%20disaster,"Orlando/Cocoa Beach, FL","'Up to 40% of businesses affected by a natural or man-made disaster never reopen'
http://t.co/35JyAp0ul9",0,False,False,'up to num% of businesses affected by a natural or man-made disaster never reopen',104,15,True
7202,natural%20disaster,New York,Rationing of food and water may also become necessary during an emergency such as a natural disaster or terror attack.,0,False,False,rationing of food and water may also become necessary during an emergency such as a natural disaster or terror attack.,118,20,False
7204,natural%20disaster,,What Natural Disaster Are You When You Get Angry? http://t.co/q4gl3Dvhu1,0,False,False,what natural disaster are you when you get angry?,72,10,True
7208,natural%20disaster,"Newcastle Upon Tyne, England",@TwopTwips make natural disaster reporting more interesting by adding 'The' to headlines such as 'Rescuers are sifting through the wreckage',0,False,False,@twoptwips make natural disaster reporting more interesting by adding 'the' to headlines such as 'rescuers are sifting through the wreckage',140,20,False
7211,natural%20disaster,liaÛ¢daniÛ¢laura,Rise up like a natural disaster we take the bat and then we take back the town????,0,False,False,rise up like a natural disaster we take the bat and then we take back the town????,82,17,False
7214,natural%20disaster,in my own personal hell (:,anyway 2 me? Mateo just doesnt exist? Hes a mirage a pointless addition to our Generation. a human natural disaster. Im sorry but its true,0,False,False,anyway num me? mateo just doesnt exist? hes a mirage a pointless addition to our generation. a human natural disaster. im sorry but its true,138,25,False
7218,natural%20disaster,sÌ£o luis,And you're loving me like water slipping through my fingers such a natural disaster love,0,False,False,and you're loving me like water slipping through my fingers such a natural disaster love,88,15,False
7221,natural%20disaster,"Aurora, IL",I added a video to a @YouTube playlist http://t.co/v2yXurne2p Natural Disaster Survival - HUG BY A GUEST!! on Roblox,0,False,False,i added a video to a @youtube playlist natural disaster survival - hug by a guest!! on roblox,116,19,True
7228,natural%20disaster,,@ConnorFranta #AskConnor if you were a natural disaster what would you be?,0,False,False,@connorfranta #askconnor if you were a natural disaster what would you be?,74,12,False
7232,natural%20disaster,,Hello natural hazards/disaster recovery &amp; emergency management ppl can u recommend good hashtags to follow OR send me links of good reads?,0,False,False,hello natural hazards/disaster recovery & emergency management ppl can u recommend good hashtags to follow or send me links of good reads?,142,22,False
7234,natural%20disaster,"Pennsylvania, USA",@BookTubeAThon A world in which people aren't dying from natural and supernatural disaster and war most likely.,0,False,False,@booktubeathon a world in which people aren't dying from natural and supernatural disaster and war most likely.,111,17,False
7242,natural%20disaster,Leitchfield Kentucky,What Natural Disaster Are You When You Get Angry? http://t.co/O9DzgZqEMf,0,False,False,what natural disaster are you when you get angry?,72,10,True
7244,natural%20disaster,"Littleton, CO",Is your team ready for a natural disaster a violent client or power outage? Contact Ready Vet to design... http://t.co/u2NJPoR39K,0,False,False,is your team ready for a natural disaster a violent client or power outage? contact ready vet to design...,129,20,True
7250,nuclear%20disaster,,"Nuclear deal disaster.

#IranDeal #NoNuclearIran #BadIranDeal @JebBush @BarackObama http://t.co/z7phPjtqud",0,False,False,nuclear deal disaster. #irandeal #nonucleariran #badirandeal @jebbush @barackobama,106,9,True
7275,nuclear%20disaster,"Sacramento, California",@drvox Trump can say nice things about nuclear power but 'drill baby drill!' + AGW denial = policy disaster for nuclear power.,0,False,False,@drvox trump can say nice things about nuclear power but 'drill baby drill!' + agw denial = policy disaster for nuclear power.,126,22,False
7292,nuclear%20disaster,Fukushima city Fukushima.pref,Over half of poll respondents worry nuclear disaster fading from public consciousness http://t.co/YtnnnD631z ##fukushima,0,False,False,over half of poll respondents worry nuclear disaster fading from public consciousness ##fukushima,120,14,True
8101,rescued,West Hollywood,Summer #summervibes #california #puppy #pitmix #rescued #brixton #banksy #happy #mybabies https://t.co/7VoVkTXsPo,0,False,False,summer #summervibes #california #puppy #pitmix #rescued #brixton #banksy #happy #mybabies,113,11,True
9093,suicide%20bomb,,@FoxNewsInsider All Obama is doing is giving a false time schedule on Iran testing there first bomb      Bomb = Nuclear Suicide Vest,0,False,False,@foxnewsinsider all obama is doing is giving a false time schedule on iran testing there first bomb bomb = nuclear suicide vest,132,22,False
9094,suicide%20bomb,Roadside,If you ever think you running out of choices in life rembr there's that kid that has no choice but wear a suicide bomb vest,0,False,False,if you ever think you running out of choices in life rembr there's that kid that has no choice but wear a suicide bomb vest,123,25,False
9106,suicide%20bomb,dorito land,she's a suicide bomb,0,False,False,she's a suicide bomb,20,4,False
9182,suicide%20bomber,,I liked a @YouTube video from @noahj456 http://t.co/xntO3jMMTS GTA 5 - SUICIDE STICKY BOMBER (GTA 5 Online Funny Moments),0,False,False,i liked a @youtube video from @noahjnum gta num - suicide sticky bomber (gta num online funny moments),121,19,True
9232,suicide%20bombing,,meek mill should join isis since he loves suicide-bombing his career for no good reason,0,False,False,meek mill should join isis since he loves suicide-bombing his career for no good reason,87,15,False
9341,survive,,Suicide of a Superpower : Will America Survive To 2025? by Patrick J. Buchana... http://t.co/eMTwirknyq http://t.co/M9K08OaZve,0,False,False,suicide of a superpower : will america survive to num? by patrick j. buchana...,126,16,True
9434,survivors,Upstairs.,People with netflix there's a really good documentary about Hiroshima narrated by John Hurt. 2 Parter that interviews Pilots + Survivors.,0,False,False,people with netflix there's a really good documentary about hiroshima narrated by john hurt. num parter that interviews pilots + survivors.,137,21,False
10090,typhoon,Evergreen Colorado,Satellite Spies Super Typhoon Soudelor from Space (Photo) http://t.co/VBhu2t8wgB,0,False,False,satellite spies super typhoon soudelor from space (photo),80,9,True
10464,wild%20fires,"Johannesburg, South Africa",They should just have load shedding permanently and we will all just live like we in the wild and have camp fires  cook with fire etc,0,False,False,they should just have load shedding permanently and we will all just live like we in the wild and have camp fires cook with fire etc,133,26,False
10472,wild%20fires,"West Vancouver, B.C.",Man selling WILD MORELS at Ambleside Farmr Mart.Sun.-MUSHROOM forageSECRET IS TO KNOW WHAT TREES they grow under &amp; BEST AFTER FOREST FIRES,0,False,False,man selling wild morels at ambleside farmr mart.sun.-mushroom foragesecret is to know what trees they grow under & best after forest fires,142,22,False
10478,wild%20fires,Indiana,"'Your love will surely come find us
Like blazing wild fires singing Your name'",0,False,False,'your love will surely come find us like blazing wild fires singing your name',78,14,False
10482,wild%20fires,Canada,@WBCShirl2 Yes God doessnt change  he says not to rejoice over the fall of people or calamities like wild fires  ect  you wanna be punished?,0,False,False,@wbcshirlnum yes god doessnt change he says not to rejoice over the fall of people or calamities like wild fires ect you wanna be punished?,140,25,False
10490,wildfire,Vail Valley,We should all have a fire safety plan. RT @Matt_Kroschel: MOCK WILDFIRE near #Vail as agencies prepare for the worst. http://t.co/SWwyLRk0fv,0,False,False,we should all have a fire safety plan. rt @matt_kroschel: mock wildfire near #vail as agencies prepare for the worst.,140,21,True
10496,wildfire,Australia,NowPlaying GT &amp; Wildfire feat. Freaks In Love Feels Like It Should (Original Mix) Massive Dance Radio ListenLive: http://t.co/ANoDGXZR3E,0,False,False,nowplaying gt & wildfire feat. freaks in love feels like it should (original mix) massive dance radio listenlive:,140,19,True
10605,wounded,,"Have you ever seen the President 
who killed your wounded child?
Or the man that crashed your sister's plane 
claimin' he was sent of God?",0,False,False,have you ever seen the president who killed your wounded child? or the man that crashed your sister's plane claimin' he was sent of god?,138,25,False
10607,wounded,"Suva, Fiji Islands.",GENERAL AUDIENCE: On Wounded Families | ZENIT - The World Seen From Rome http://t.co/hFvnyfT78C,0,False,False,general audience: on wounded families | zenit - the world seen from rome,95,14,True
