mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_penalty,param_solver,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
0.027356545130411785,0.004274689784197046,0.007417758305867513,0.0010824988796951744,0.001,l2,lbfgs,"{'C': 0.001, 'penalty': 'l2', 'solver': 'lbfgs'}",0.7144216972002535,0.7605044300369266,0.7219827227829789,0.7323029500067196,0.020178947509492437,13
0.08871046702067058,0.008871694163086695,0.009894609451293945,0.0009844433531941102,0.001,l2,saga,"{'C': 0.001, 'penalty': 'l2', 'solver': 'saga'}",0.732683107607304,0.7644650711514883,0.7205039519106455,0.7392173768898127,0.018532269289344122,10
0.006478786468505859,0.0033028653407340264,0.0,0.0,0.001,l1,lbfgs,"{'C': 0.001, 'penalty': 'l1', 'solver': 'lbfgs'}",,,,,,19
0.01151585578918457,0.0022405146779529684,0.004755338033040364,0.0005303411203202141,0.001,l1,saga,"{'C': 0.001, 'penalty': 'l1', 'solver': 'saga'}",0.37236987818383166,0.37254359258234154,0.37254359258234154,0.37248568778283825,8.188975278405382e-05,17
0.01836856206258138,0.0014967430301296774,0.004448413848876953,0.0009985746763653007,0.01,l2,lbfgs,"{'C': 0.01, 'penalty': 'l2', 'solver': 'lbfgs'}",0.7282979580579529,0.7660164255908937,0.7311635628912546,0.7418259821800337,0.017145185661980505,9
0.040580034255981445,0.0019329335838928561,0.006429592768351237,0.0012209680937332055,0.01,l2,saga,"{'C': 0.01, 'penalty': 'l2', 'solver': 'saga'}",0.7310528917449333,0.7665966559591466,0.7301807938104468,0.7426101138381757,0.01696478295160641,8
0.0024242401123046875,0.000525320628262871,0.0,0.0,0.01,l1,lbfgs,"{'C': 0.01, 'penalty': 'l1', 'solver': 'lbfgs'}",,,,,,19
0.020393212636311848,0.0035087021776075093,0.006463845570882161,0.0010539299394297294,0.01,l1,saga,"{'C': 0.01, 'penalty': 'l1', 'solver': 'saga'}",0.37236987818383166,0.37254359258234154,0.37254359258234154,0.37248568778283825,8.188975278405382e-05,17
0.028585036595662434,0.0007776825040974845,0.010100762049357096,0.003789148492880813,0.1,l2,lbfgs,"{'C': 0.1, 'penalty': 'l2', 'solver': 'lbfgs'}",0.7569889499145713,0.7808220145814146,0.755528287712838,0.7644464174029414,0.011594640162034953,4
0.05020991961161295,0.008382247884773396,0.005930185317993164,0.0004504933194863969,0.1,l2,saga,"{'C': 0.1, 'penalty': 'l2', 'solver': 'saga'}",0.7569889499145713,0.7808220145814146,0.7559426405994316,0.764584535031806,0.011489574909128409,3
0.00402061144510905,0.0014867565472422893,0.0,0.0,0.1,l1,lbfgs,"{'C': 0.1, 'penalty': 'l1', 'solver': 'lbfgs'}",,,,,,19
0.05473494529724121,0.0099767917928457,0.006176471710205078,0.002028057702791487,0.1,l1,saga,"{'C': 0.1, 'penalty': 'l1', 'solver': 'saga'}",0.5628127027611564,0.5806409856742559,0.5437040347637163,0.5623859077330429,0.015082466666937475,16
0.07447044054667155,0.011975558985221624,0.006844520568847656,0.0008415748524106322,1.0,l2,lbfgs,"{'C': 1.0, 'penalty': 'l2', 'solver': 'lbfgs'}",0.7733552792001951,0.7869294150819262,0.770687673982003,0.7769907894213747,0.0071115511395409645,1
0.05930598576863607,0.002785230565390864,0.008583943049112955,0.0014259360087935337,1.0,l2,saga,"{'C': 1.0, 'penalty': 'l2', 'solver': 'saga'}",0.7729376674705865,0.7873499363599166,0.7697704246779309,0.7766860095028113,0.00765059295031766,2
0.003012418746948242,0.0008300104452207406,0.0,0.0,1.0,l1,lbfgs,"{'C': 1.0, 'penalty': 'l1', 'solver': 'lbfgs'}",,,,,,19
1.526618242263794,1.4186855041355633,0.007397572199503581,0.0008913913948443253,1.0,l1,saga,"{'C': 1.0, 'penalty': 'l1', 'solver': 'saga'}",0.751907951248888,0.7612117017423188,0.7564490851225825,0.7565229127045964,0.0037985989693484767,7
0.1365520159403483,0.025491223718491395,0.0077982743581136065,0.0007434277775584358,10.0,l2,lbfgs,"{'C': 10.0, 'penalty': 'l2', 'solver': 'lbfgs'}",0.7589354882011123,0.7582745668241851,0.7529598262889095,0.7567232937714023,0.0026748171134310856,6
0.16203761100769043,0.008990581752613861,0.00981442133585612,0.0008670102109940166,10.0,l2,saga,"{'C': 10.0, 'penalty': 'l2', 'solver': 'saga'}",0.7588496863781162,0.7591901934650027,0.7529598262889095,0.7569999020440094,0.002860145141919106,5
0.006750742594401042,0.0036496386420904227,0.0,0.0,10.0,l1,lbfgs,"{'C': 10.0, 'penalty': 'l1', 'solver': 'lbfgs'}",,,,,,19
24.295974175135296,2.0922840582793722,0.0058333079020182295,0.004679175984953117,10.0,l1,saga,"{'C': 10.0, 'penalty': 'l1', 'solver': 'saga'}",0.7319973902431494,0.731266660384986,0.7344086676393872,0.7325575727558409,0.0013424866808330975,12
0.19178311030069986,0.03362763964095806,0.007712125778198242,0.0012499904496385647,100.0,l2,lbfgs,"{'C': 100.0, 'penalty': 'l2', 'solver': 'lbfgs'}",0.7322988559853005,0.7337093797745018,0.7336008086745055,0.733203014811436,0.0006408714421772486,11
0.8414197762807211,0.08523480979447945,0.01082913080851237,0.001696164625808051,100.0,l2,saga,"{'C': 100.0, 'penalty': 'l2', 'solver': 'saga'}",0.723577216077107,0.7305210400423081,0.7321843575869493,0.7287608712354547,0.0037277667053324027,14
0.01864735285441081,0.01774285547070456,0.0,0.0,100.0,l1,lbfgs,"{'C': 100.0, 'penalty': 'l1', 'solver': 'lbfgs'}",,,,,,19
47.628235737482704,11.12048598342447,0.005008141199747722,0.005258159999025924,100.0,l1,saga,"{'C': 100.0, 'penalty': 'l1', 'solver': 'saga'}",0.7039400991438854,0.709022407216954,0.7085018849814219,0.7071547971140871,0.0022830459375046586,15
