threshold,f1_macro,mcc,precision_1,recall_1
0.1,0.30357707668691924,0.06621942054451149,0.4094009489916963,0.9989146164978292
0.11,0.3135768632565563,0.0849779793843593,0.4114575563180665,0.9978292329956585
0.12000000000000001,0.32190914463920556,0.09905170519272422,0.41325536062378165,0.9971056439942113
0.13,0.3302182189404056,0.1090096345085159,0.4149577804583836,0.9956584659913169
0.14,0.33822866877313745,0.11567545741192106,0.41650235097831034,0.9934876989869754
0.15000000000000002,0.34989035869916874,0.1282964970221843,0.41902431564459397,0.9913169319826338
0.16,0.363333541032943,0.14118532705315448,0.4219956750077232,0.9884225759768451
0.17,0.3780640919809014,0.157164981566342,0.42560499609679936,0.9862518089725036
0.18,0.39658906067725874,0.17383108084626298,0.4302012359372524,0.9822720694645442
0.19,0.4177264138121945,0.1942622775904255,0.43600902643455836,0.9786541244573083
0.2,0.43839634614493733,0.2166981145728063,0.44240537440602984,0.9768451519536903
0.21000000000000002,0.4559321296169274,0.23099000073624087,0.447776111944028,0.9725036179450073
0.22,0.4756187874658628,0.2466495882264748,0.4542056074766355,0.9670767004341534
0.23,0.49163434213317314,0.2594254541844328,0.45980985306828004,0.9623733719247467
0.24000000000000002,0.5106526868591559,0.278368020436753,0.4673127753303965,0.959479015918958
0.25,0.5270528060749777,0.29070986930961845,0.4738356410717497,0.953328509406657
0.26,0.5480867016894139,0.3100740878337359,0.483216525267429,0.9479015918958031
0.27,0.5665155698419044,0.33013828064363204,0.4923714447165191,0.9457308248914617
0.28,0.5869933779639253,0.3493573287130034,0.5030995738086013,0.9395803183791607
0.29000000000000004,0.6036032014783869,0.36310929095933175,0.5124378109452736,0.9316208393632417
0.30000000000000004,0.6188791441804634,0.37924124847899515,0.5218807246081824,0.9276410998552822
0.31,0.6345382032236637,0.3936860365567711,0.5322310590205107,0.9200434153400868
0.32,0.6480746082334492,0.4056943735455906,0.5419354838709678,0.9117221418234442
0.33,0.6598874538792303,0.4159609464430914,0.5511150364318834,0.9030390738060782
0.33999999999999997,0.6721448332356581,0.4284816410106198,0.5613239628202221,0.8958031837916064
0.35,0.6844998089296909,0.4406368431518026,0.5725636831035289,0.886396526772793
0.36,0.6958243154933944,0.45308153759215286,0.5836136472849591,0.8787988422575976
0.37,0.7065136908718355,0.46408107432152795,0.5951908775409024,0.8686685962373372
0.38,0.7156943820137243,0.4740712506322201,0.6059678653404744,0.8596237337192475
0.39,0.723961496147686,0.48218874620858587,0.6170661048195945,0.847684515195369
0.4,0.7312795801447922,0.49073220276773466,0.6272653502840141,0.8390014471780028
0.41000000000000003,0.7390016170893838,0.4997045088337375,0.6392847164012294,0.8277858176555717
0.42000000000000004,0.7439487633134001,0.5039765701966062,0.6494369044181346,0.8136758321273516
0.43000000000000005,0.7495025819496115,0.5110012291650607,0.6600297176820208,0.8035455861070911
0.44000000000000006,0.7563060135152475,0.5204588146765489,0.6738527871881737,0.7916063675832128
0.45000000000000007,0.7623426605452635,0.5298370800116725,0.6863304789089756,0.7829232995658466
0.45999999999999996,0.7667088421708983,0.5367861739837798,0.696457588560286,0.7753256150506512
0.47,0.7710354603645706,0.5437851720428367,0.7083054253181513,0.7651953690303908
0.48,0.7768306183477778,0.5541531932054148,0.7238029146426093,0.7547033285094067
0.49,0.778770346949631,0.5575648364712764,0.7347670250896058,0.7416787264833574
0.5,0.7774937537177042,0.5550773178335647,0.740972733971997,0.7275687409551375
0.51,0.7801394244227522,0.5608560354911534,0.7524639878695982,0.7181620839363242
0.52,0.7801446997766041,0.5617715961719563,0.7612173234490831,0.7058610709117221
0.53,0.7828066159155762,0.5683423391908091,0.7733654231849177,0.6975397973950795
0.54,0.783168364692262,0.5708621294259729,0.7840297889946214,0.6856005788712012
0.55,0.7797495522380348,0.5665049071731474,0.7913453299057412,0.6682344428364689
0.56,0.7786823824129625,0.5668941798940512,0.8004415011037528,0.6559334298118669
0.5700000000000001,0.7761690158150638,0.5650720139736554,0.8091324200913242,0.6410998552821997
0.58,0.7744283474797636,0.5643220042570523,0.8163074039362699,0.630246020260492
0.59,0.7711747012856656,0.5626417472299561,0.827552515876893,0.6128798842257598
0.6,0.7656531170713186,0.5562023222661258,0.8337557019766852,0.5951519536903039
0.61,0.7616770563285217,0.5527766101271173,0.8411949685534591,0.5806801736613604
0.62,0.7565462182097213,0.5481850593322966,0.8495092693565977,0.5636758321273516
0.63,0.7534491219079003,0.5483046557449114,0.8620102214650767,0.5492040520984081
0.64,0.7486690796181605,0.5464417684845552,0.875,0.5318379160636758
0.65,0.740780019726174,0.5373325236374911,0.879727216367018,0.5133863965267728
0.66,0.7348842258118427,0.5336946140940263,0.8909090909090909,0.4963820549927641
0.67,0.7276525042614153,0.5264916171555286,0.8971583220568335,0.479739507959479
0.6799999999999999,0.7187647631367249,0.5180363836281258,0.9052706552706553,0.4598408104196816
0.69,0.711412788995165,0.5100308094600281,0.9090909090909091,0.44500723589001445
0.7,0.7010885224126228,0.4981174922662959,0.9123351435221102,0.42547033285094066
0.71,0.693442807749735,0.4908436310707528,0.9182186234817814,0.41027496382054995
0.72,0.684426375791495,0.4808217057310625,0.9213197969543148,0.39399421128798845
0.73,0.6752784166072929,0.47215909139572504,0.9278717720391808,0.37698986975397974
0.74,0.6641271232419348,0.460903325269971,0.9338374291115312,0.35745296671490595
0.75,0.6539831562491967,0.4510554772973036,0.94,0.34008683068017365
0.76,0.6424766495439087,0.44021737508273057,0.9476495726495726,0.32091172214182345
0.77,0.6327871008932945,0.4301357021369229,0.9515765765765766,0.3057163531114327
0.78,0.6210820992621595,0.41857453336221806,0.9578313253012049,0.28762662807525324
0.79,0.6075570192051168,0.40231756376445316,0.9574193548387097,0.26845151953690305
0.8,0.5929595330159034,0.3862257184908365,0.9607293127629734,0.24782923299565845
0.8099999999999999,0.5774219539975657,0.36811293081274954,0.9616564417177914,0.22684515195369032
0.82,0.5625614913947143,0.3508984149206904,0.9630252100840336,0.2073082489146165
0.83,0.5490598094460618,0.33720760676900713,0.9703703703703703,0.18958031837916064
0.84,0.5369535280474983,0.32361832579163835,0.9737373737373738,0.17438494934876989
0.85,0.517881980037421,0.3037976299585821,0.9858156028368794,0.1508683068017366
0.86,0.5005858738889072,0.2811134724348753,0.9836956521739131,0.1309696092619392
0.87,0.4824363326478468,0.25641638575066794,0.9807692307692307,0.11070911722141824
0.88,0.46743646463914756,0.23505296716450622,0.9775280898876404,0.09442836468885674
0.89,0.45170090823335857,0.2113544397558068,0.9728506787330317,0.07778581765557163
0.9,0.4362506080165016,0.18627264305751945,0.9661016949152542,0.06186685962373372
